matched_species,successfully_downloaded
Agalychnis annae,4
Agalychnis callidryas,11
Allobates talamancae,40
Atelopus varius,0
Boana rosenbergi,46
Cochranella granulosa,14
Craugastor crassidigitus,2
Craugastor fitzingeri,27
Dendrobates auratus,2
Dendropsophus ebraccatus,44
Dendropsophus microcephalus,62
Diasporus diastema,64
Diasporus vocator,4
Elachistocleis pearsei,1
Engystomops pustulosus,150
Espadarana prosoblepon,21
Hyalinobatrachium colymbiphyllum,6
Hyalinobatrachium fleischmanni,8
Hyalinobatrachium valerioi,4
Incilius coniferus,2
Incilius melanochlorus,4
Leptodactylus bolivianus,1
Leptodactylus fragilis,115
Leptodactylus insularum,19
Leptodactylus melanonotus,97
Leptodactylus poecilochilus,5
Leptodactylus savagei,56
Pristimantis cruentus,2
Pristimantis ridens,2
Rhaebo haematiticus,10
Rhinella horribilis,109
Sachatamia albomaculata,8
Scinax boulengeri,12
Scinax elaeochroa,21
Silverstoneia flotator,23
Smilisca baudinii,89
Smilisca phaeota,19
Smilisca sila,13
Smilisca sordida,2
Teratohyla pulverata,8
Trachycephalus typhonius,14
